latitude,longitude,year,month,day,type,basisOfRecord,gbifID,occurrenceID,system:time_start,geometry
18.753083,-88.304012,2024.0,8.0,30.0,,HUMAN_OBSERVATION,4994292317,https://www.inaturalist.org/observations/253747943,2024-08-30T00:00:00,POINT (-88.304012 18.753083)
21.534191,-88.103932,2024.0,7.0,9.0,,HUMAN_OBSERVATION,4994073913,https://www.inaturalist.org/observations/253900863,2024-07-09T00:00:00,POINT (-88.103932 21.534191)
18.694144,-90.30194,2024.0,8.0,12.0,,HUMAN_OBSERVATION,4993907860,https://www.inaturalist.org/observations/244419293,2024-08-12T00:00:00,POINT (-90.30194 18.694144)
17.963972,-89.523448,2024.0,7.0,24.0,,HUMAN_OBSERVATION,4993907797,https://www.inaturalist.org/observations/242186733,2024-07-24T00:00:00,POINT (-89.523448 17.963972)
10.808229,-85.741867,2024.0,7.0,3.0,,HUMAN_OBSERVATION,4993874078,https://www.inaturalist.org/observations/253959842,2024-07-03T00:00:00,POINT (-85.741867 10.808229)
19.432121,-88.191421,2024.0,2.0,9.0,,HUMAN_OBSERVATION,4993799999,https://www.inaturalist.org/observations/253961891,2024-02-09T00:00:00,POINT (-88.191421 19.432121)
18.716978,-88.367963,2024.0,7.0,25.0,,HUMAN_OBSERVATION,4993745702,https://www.inaturalist.org/observations/253748826,2024-07-25T00:00:00,POINT (-88.367963 18.716978)
18.106916,-91.895464,2024.0,7.0,19.0,,HUMAN_OBSERVATION,4974301865,https://www.inaturalist.org/observations/247794221,2024-07-19T00:00:00,POINT (-91.895464 18.106916)
17.276831,-89.13056,2024.0,7.0,22.0,,HUMAN_OBSERVATION,4974201698,https://www.inaturalist.org/observations/247324680,2024-07-22T00:00:00,POINT (-89.13056 17.276831)
10.454945,-83.484608,2024.0,3.0,11.0,,HUMAN_OBSERVATION,4974144521,https://www.inaturalist.org/observations/247868379,2024-03-11T00:00:00,POINT (-83.484608 10.454945)
10.762941,-85.343174,2023.0,10.0,11.0,,MACHINE_OBSERVATION,4958340979,2023ICEFG2687,2023-10-11T00:00:00,POINT (-85.343174 10.762941)
10.819316,-85.4147,2024.0,3.0,18.0,,MACHINE_OBSERVATION,4958340649,2023ICEFG2254,2024-03-18T00:00:00,POINT (-85.4147 10.819316)
10.819316,-85.4147,2021.0,7.0,17.0,,MACHINE_OBSERVATION,4958339978,2023ICEFG2161,2021-07-17T00:00:00,POINT (-85.4147 10.819316)
10.819316,-85.4147,2024.0,7.0,21.0,,MACHINE_OBSERVATION,4958339153,2023ICEFG2092,2024-07-21T00:00:00,POINT (-85.4147 10.819316)
10.69997,-85.176346,2024.0,7.0,11.0,,HUMAN_OBSERVATION,4958338476,2023ICEFG244,2024-07-11T00:00:00,POINT (-85.176346 10.69997)
10.69997,-85.176346,2018.0,6.0,23.0,,MACHINE_OBSERVATION,4958338457,2023ICEFG253,2018-06-23T00:00:00,POINT (-85.176346 10.69997)
11.103291,-85.567751,2024.0,5.0,25.0,,HUMAN_OBSERVATION,4954402701,https://www.inaturalist.org/observations/246505193,2024-05-25T00:00:00,POINT (-85.567751 11.103291)
17.541013,-89.347824,2018.0,4.0,7.0,,HUMAN_OBSERVATION,4954331926,https://www.inaturalist.org/observations/247408556,2018-04-07T00:00:00,POINT (-89.347824 17.541013)
19.930023,-90.221494,2018.0,4.0,8.0,,HUMAN_OBSERVATION,4952733052,https://www.inaturalist.org/observations/245692909,2018-04-08T00:00:00,POINT (-90.221494 19.930023)
17.413242,-89.325484,2024.0,5.0,27.0,,HUMAN_OBSERVATION,4952427005,https://www.inaturalist.org/observations/244482119,2024-05-27T00:00:00,POINT (-89.325484 17.413242)
17.561397,-89.275557,2021.0,5.0,15.0,,HUMAN_OBSERVATION,4952239250,https://www.inaturalist.org/observations/244482019,2021-05-15T00:00:00,POINT (-89.275557 17.561397)
17.402835,-92.759672,2009.0,8.0,19.0,,HUMAN_OBSERVATION,4950009937,https://www.inaturalist.org/observations/243853698,2009-08-19T00:00:00,POINT (-92.759672 17.402835)
17.649528,-89.355643,2019.0,2.0,20.0,,HUMAN_OBSERVATION,4946510861,https://www.inaturalist.org/observations/204107253,2019-02-20T00:00:00,POINT (-89.355643 17.649528)
10.452461,-83.403606,2019.0,5.0,7.0,,HUMAN_OBSERVATION,4946252441,https://www.inaturalist.org/observations/241041300,2019-05-07T00:00:00,POINT (-83.403606 10.452461)
16.531852,-88.615341,2019.0,2.0,20.0,,HUMAN_OBSERVATION,4936995027,https://www.inaturalist.org/observations/239288619,2019-02-20T00:00:00,POINT (-88.615341 16.531852)
17.261773,-89.262314,2019.0,2.0,20.0,,HUMAN_OBSERVATION,4921845423,https://www.inaturalist.org/observations/232881924,2019-02-20T00:00:00,POINT (-89.262314 17.261773)
17.279645,-89.247287,2019.0,4.0,1.0,,HUMAN_OBSERVATION,4921783448,https://www.inaturalist.org/observations/232882795,2019-04-01T00:00:00,POINT (-89.247287 17.279645)
10.839945,-84.675464,2019.0,2.0,28.0,,HUMAN_OBSERVATION,4919313352,https://www.inaturalist.org/observations/203063973,2019-02-28T00:00:00,POINT (-84.675464 10.839945)
10.704329,-85.655421,2022.0,4.0,24.0,,HUMAN_OBSERVATION,4919271563,https://www.inaturalist.org/observations/225581466,2022-04-24T00:00:00,POINT (-85.655421 10.704329)
17.281997,-90.149844,2022.0,4.0,24.0,,HUMAN_OBSERVATION,4910809165,https://www.inaturalist.org/observations/231061975,2022-04-24T00:00:00,POINT (-90.149844 17.281997)
18.461737,-89.408135,2022.0,5.0,16.0,,HUMAN_OBSERVATION,4910704387,https://www.inaturalist.org/observations/230907616,2022-05-16T00:00:00,POINT (-89.408135 18.461737)
10.69378,-85.667942,2019.0,2.0,20.0,,HUMAN_OBSERVATION,4908737241,https://www.inaturalist.org/observations/228760330,2019-02-20T00:00:00,POINT (-85.667942 10.69378)
10.411646,-83.45606,2019.0,5.0,31.0,,HUMAN_OBSERVATION,4901983386,https://www.inaturalist.org/observations/221161925,2019-05-31T00:00:00,POINT (-83.45606 10.411646)
8.73978,-83.765998,2022.0,4.0,11.0,,HUMAN_OBSERVATION,4901930207,https://www.inaturalist.org/observations/222692152,2022-04-11T00:00:00,POINT (-83.765998 8.73978)
8.78439,-83.7266,2019.0,4.0,1.0,,HUMAN_OBSERVATION,4900980426,https://www.inaturalist.org/observations/222690556,2019-04-01T00:00:00,POINT (-83.7266 8.78439)
17.325928,-89.264284,2020.0,5.0,23.0,,HUMAN_OBSERVATION,4900865068,https://www.inaturalist.org/observations/218798825,2020-05-23T00:00:00,POINT (-89.264284 17.325928)
